E2 :  23/03/2011 11:34:29, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 11:34:29, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 11:34:29, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 11:34:29, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 11:34:29, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 11:34:29, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 11:34:29, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 11:34:29, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 11:34:29, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 11:34:29, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 11:34:38, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 11:34:38, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 11:34:38, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 11:34:38, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 11:34:38, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 11:34:38, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 11:34:38, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 11:34:38, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 11:34:38, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 11:34:38, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 11:38:14, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 11:38:14, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
